Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
log Reg,header_1,0.70938,1.90091024755357,1.91316974067223,2.21812510490417,0.20905590057373,threshold=0.3333,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_all,0.74905,2.02949525118019,2.05037527287158,34.7109830379486,0.42004895210266,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_2,0.72154,1.87821551290652,1.89130119619110,1.35907816886901,0.17900896072387,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_3,0.73642,1.98433499152982,1.99593663118959,8.06049799919128,0.25001597404479,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_4,0.73081,1.94370118184853,1.96043403407742,3.88922309875488,0.22105002403259,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_5,0.71856,1.91032636661636,1.90633053232789,2.41513895988464,0.20205092430114,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_6,0.71113,1.89629260259964,1.90466578842890,2.18612384796142,0.20705103874206,threshold=0.3333,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_7,0.71495,1.90470853821446,1.91788124174226,4.53430080413818,0.21501016616821,threshold=0.3333,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_8,0.73926,2.04480142600976,2.06934119373163,3.80221796035766,0.21201109886169,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_x,0.7497,2.03215013520882,2.05174659434856,37.7371349334716,0.32406210899353,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
log Reg,header_x,0.7497,2.03215013520882,2.05174659434856,37.7371349334716,0.32406210899353,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
kNN,header_1,0.8197,3.12138448345385,3.16363617632911,1.33112597465515,42.5624618530273,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_1,0.81897,3.13156746761187,3.15180315624979,1.29611587524414,69.8980181217193,threshold=0.7777,k=201,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_2,0.81662,3.02637196232740,3.07978169685531,2.19820404052734,27.5195538997650,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_2,0.81734,3.06727156986189,3.10378757201043,2.22512793540954,38.1351969242095,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_3,0.81718,2.99785744420597,3.00044045305591,126.217298030853,81.1586329936981,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_3,0.81497,2.98205239394939,3.00101716770257,125.502278089523,107.117134809494,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_4,0.81794,2.99095074654379,2.99442847797634,117.701745986938,64.9148080348968,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_4,0.81659,2.96607546343129,3.01382746265892,114.581581115722,95.2484798431396,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_5,0.81948,3.03873019278520,3.05035650988486,1.43904209136962,41.9444561004638,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_5,0.8185,3.04571887563469,3.09034266868168,1.38111782073974,60.3364391326904,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81954,3.07765029966059,3.11393322269394,1.33111691474914,31.2368030548095,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81995,3.11757527095606,3.16503890697194,1.37613606452941,43.3964469432830,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_7,0.81941,3.04595340245354,3.05410364309190,1.53406906127929,50.1318500041961,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_7,0.81817,3.05413948942827,3.08945374520019,1.53902602195739,67.4038879871368,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_8,0.78924,2.47081228800958,2.44345250242852,0.69704008102416,36.1021220684051,threshold=0.6666,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_8,0.78913,2.46581627581590,2.46484969747858,0.66797494888305,54.6041910648345,threshold=0.6666,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_x,0.81023,2.86033408507247,2.86629729803759,142.341190099716,165.411532878875,threshold=0.7777,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_x,0.80993,2.83962433297329,2.86190591237724,138.450941085815,226.667109966278,threshold=0.6666,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_all,0.81043,2.85641726632751,2.84632951216232,137.149915933609,223.354824066162,threshold=0.6666,k=51,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_all,0.80991,2.84195461554988,2.88030061997222,134.297743082046,285.484496831893,threshold=0.7777,k=101,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_1,0.8207,3.11817780803274,3.15684673054388,1.38607883453369,71.1991050243377,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_1,0.81981,3.16617624969975,3.17506809680504,1.23714089393615,97.6595609188079,threshold=0.7777,k=201,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_2,0.8174,3.01725526312147,3.07655266605617,2.23312807083129,41.6634030342102,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_2,0.81787,3.05823951791106,3.13729357842842,2.52614593505859,68.6579580307006,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_3,0.81928,3.00830337357057,3.02916976931745,199.932526111602,188.430862903594,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_3,0.81772,3.01522213202978,3.03693271356752,194.648223161697,255.754744052886,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_4,0.82038,2.99407706209328,3.04350852921302,186.253737926483,144.849349975585,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_4,0.81867,3.03003515495572,3.04722774888509,189.776940107345,193.591162919998,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_5,0.82036,3.05360887013456,3.06595913200090,1.65709614753723,95.0434789657592,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_5,0.81975,3.08688847695324,3.11189666901388,1.51008796691894,118.814850091934,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82034,3.07042293753140,3.12110432136344,1.59209108352661,56.4952578544616,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82143,3.14657881262548,3.16526166310429,1.69009494781494,80.3076310157775,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_7,0.8205,3.03857593087259,3.07510508131622,1.91010999679565,107.154177188873,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_7,0.81979,3.10667099215251,3.12403233761373,1.77110099792480,135.868833065032,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
